n,p,k,temperature,humidity,ph,rainfall,crop_std,country,year,unit,yield,yield_foodgrains,yield_oilseeds,n_norm,p_norm,k_norm,temperature_norm,humidity_norm,ph_norm,rainfall_norm,year_norm
24.0,128.0,196.0,22.75088787,90.69489172,5.521466996,110.4317855,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.1714285714285714,0.8785714285714286,0.955,0.3995777826767639,0.8916639210087055,0.3136249683192412,0.3241275041024102,0.5
7.0,144.0,197.0,23.8494014,94.34814995,6.133220586,114.0512495,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.05,0.9928571428571428,0.96,0.431099138696069,0.9342805185846316,0.4087604884775321,0.3371308414598662,0.5
14.0,128.0,205.0,22.60800988,94.58900601,6.226289556,116.0396587,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.1,0.8785714285714286,1.0,0.395477962449595,0.9370901928908312,0.4232339055792549,0.3442744283645209,0.5
8.0,120.0,201.0,21.18667419,91.13435689,6.321152192,122.233323,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.0571428571428571,0.8214285714285714,0.98,0.3546933684651817,0.8967904434496133,0.4379862607218648,0.3665258739851241,0.5
20.0,129.0,201.0,23.41044706,91.69913296,5.587905967,116.07779309999998,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.1428571428571428,0.8857142857142857,0.98,0.4185035395982963,0.9033787635136188,0.3239570794309498,0.3444114305471987,0.5
32.0,137.0,204.0,22.86006627,93.12859895,5.824151692999999,117.7296726,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2285714285714285,0.9428571428571428,0.995,0.402710608192366,0.920054008735554,0.3606963162667859,0.3503459961105987,0.5
27.0,139.0,205.0,22.48403042,93.40819246,5.7721799460000005,105.5473627,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.1928571428571428,0.9571428571428572,1.0,0.3919204271156959,0.9233155696081646,0.3526140438204894,0.3065796579393183,0.5
0.0,123.0,205.0,22.02775403,92.96129462,5.790993052,121.1349176,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.0,0.8428571428571429,1.0,0.378827779515449,0.9181023423447772,0.3555397228101346,0.3625797272707345,0.5
22.0,144.0,196.0,21.91191314,91.68748063,6.4992268210000015,117.0761277,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.1571428571428571,0.9928571428571428,0.955,0.3755037768194757,0.9032428348091124,0.4656791467691863,0.3479980614957096,0.5
1.0,124.0,199.0,23.71059131,93.27392415,5.658473817000001,112.66765890000002,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.0071428571428571,0.85,0.97,0.4271160450459055,0.9217492805110838,0.3349312841204593,0.3321601343782639,0.5
30.0,122.0,197.0,21.37784654,92.72043743,5.573241391,106.1417017,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2142857142857142,0.8357142857142857,0.96,0.3601789738226298,0.9152926548567132,0.3216765500013459,0.3087148886037738,0.5
29.0,121.0,196.0,22.84852833,94.32130209,6.079497202000001,123.5977843,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.2071428571428571,0.8285714285714286,0.955,0.4023795321477502,0.933967328447674,0.4004058140382638,0.3714278568740527,0.5
13.0,126.0,204.0,23.1094265,92.79630809,6.3831802710000005,108.183792,apple,India,2016.5,kg/ha,3740.1,2592.54,1999.41,0.0928571428571428,0.8642857142857143,0.995,0.4098658888259016,0.9161777139413648,0.4476324216215248,0.3160513309845486,0.5
